domain_key|pattern_key|score_shape|closing_summary|core_gift|core_trap|development_edge|memorable_line|status|lookup_key
leadership_approach|people_results_process_vision|concentrated|With People clearly strongest, start from the condition it gives you: people understand the work, their part in it, and how to commit. Keep Results, Process, and Vision available so the response can widen when the situation asks for more than the first move.|People judgement keeps trust, communication, and commitment visible while the work moves. Results, Process, and Vision extend that value when the work needs decision, ownership, and follow-through, sequence, standards, and dependable structure, or direction, meaning, and future consequence.|The pattern can tighten when consideration keeps extending after the work needs a clearer decision, standard, or direction. Vision may need to enter earlier when the first response has already created enough trust.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Do this while People is still working, so range arrives before the response becomes too narrow.|People gives the start; Vision keeps the range in view.|active|leadership_approach::people_results_process_vision::concentrated
leadership_approach|people_results_process_vision|paired|Read People and Results as a working pair. Let people understand the work, their part in it, and how to commit sit alongside the outcome, owner, and next move are clear, then bring in Process and Vision when the work needs more range.|People and Results together connect trust, communication, and shared commitment with decision, ownership, and follow-through. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Process or Vision is needed to complete the picture. The risk is a context mismatch: the work may need direction, meaning, and future consequence sooner than the pair expects.|Bring in Process when the work needs clearer steps, standards, or handover. Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. The pair stays steadier when these checks arrive before the answer feels settled.|People and Results carry the centre; Vision keeps the work rounded.|active|leadership_approach::people_results_process_vision::paired
leadership_approach|people_results_process_vision|graduated|Read the order as a stepped pattern of influence: People, then Results, then Process, with Vision added deliberately. The closing point is to follow that order while still making room for direction, meaning, and future consequence.|The rank order gives the work a clear movement from trust, communication, and shared commitment through decision, ownership, and follow-through and sequence, standards, and dependable structure. Vision adds the final range when the situation calls for direction, meaning, and future consequence.|The sequence can become too closed when later signals are left until the situation has already tightened. Vision matters when the work now needs direction, meaning, and future consequence.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Vision before the work closes in.|active|leadership_approach::people_results_process_vision::graduated
leadership_approach|people_results_process_vision|balanced|Several leadership responses are available here. Use the rank order as a map: People, Results, Process, and Vision. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across People, Results, Process, and Vision. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for People, Results, Process, and Vision.|Name the current need before changing emphasis. Then bring in Vision when direction, meaning, and future consequence would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::people_results_process_vision::balanced
leadership_approach|people_results_vision_process|concentrated|With People clearly strongest, start from the condition it gives you: people understand the work, their part in it, and how to commit. Keep Results, Vision, and Process available so the response can widen when the situation asks for more than the first move.|People judgement keeps trust, communication, and commitment visible while the work moves. Results, Vision, and Process extend that value when the work needs decision, ownership, and follow-through, direction, meaning, and future consequence, or sequence, standards, and dependable structure.|The pattern can tighten when consideration keeps extending after the work needs a clearer decision, standard, or direction. Process may need to enter earlier when the first response has already created enough trust.|Bring in Process when the work needs clearer steps, standards, or handover. Do this while People is still working, so range arrives before the response becomes too narrow.|People gives the start; Process keeps the range in view.|active|leadership_approach::people_results_vision_process::concentrated
leadership_approach|people_results_vision_process|paired|Read People and Results as a working pair. Let people understand the work, their part in it, and how to commit sit alongside the outcome, owner, and next move are clear, then bring in Vision and Process when the work needs more range.|People and Results together connect trust, communication, and shared commitment with decision, ownership, and follow-through. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Vision or Process is needed to complete the picture. The risk is a context mismatch: the work may need sequence, standards, and dependable structure sooner than the pair expects.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Bring in Process when the work needs clearer steps, standards, or handover. The pair stays steadier when these checks arrive before the answer feels settled.|People and Results carry the centre; Process keeps the work rounded.|active|leadership_approach::people_results_vision_process::paired
leadership_approach|people_results_vision_process|graduated|Read the order as a stepped pattern of influence: People, then Results, then Vision, with Process added deliberately. The closing point is to follow that order while still making room for sequence, standards, and dependable structure.|The rank order gives the work a clear movement from trust, communication, and shared commitment through decision, ownership, and follow-through and direction, meaning, and future consequence. Process adds the final range when the situation calls for sequence, standards, and dependable structure.|The sequence can become too closed when later signals are left until the situation has already tightened. Process matters when the work now needs sequence, standards, and dependable structure.|Bring in Process when the work needs clearer steps, standards, or handover. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Process before the work closes in.|active|leadership_approach::people_results_vision_process::graduated
leadership_approach|people_results_vision_process|balanced|Several leadership responses are available here. Use the rank order as a map: People, Results, Vision, and Process. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across People, Results, Vision, and Process. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for People, Results, Vision, and Process.|Name the current need before changing emphasis. Then bring in Process when sequence, standards, and dependable structure would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::people_results_vision_process::balanced
leadership_approach|people_process_results_vision|concentrated|With People clearly strongest, start from the condition it gives you: people understand the work, their part in it, and how to commit. Keep Process, Results, and Vision available so the response can widen when the situation asks for more than the first move.|People judgement keeps trust, communication, and commitment visible while the work moves. Process, Results, and Vision extend that value when the work needs sequence, standards, and dependable structure, decision, ownership, and follow-through, or direction, meaning, and future consequence.|The pattern can tighten when consideration keeps extending after the work needs a clearer decision, standard, or direction. Vision may need to enter earlier when the first response has already created enough trust.|Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. Do this while People is still working, so range arrives before the response becomes too narrow.|People gives the start; Vision keeps the range in view.|active|leadership_approach::people_process_results_vision::concentrated
leadership_approach|people_process_results_vision|paired|Read People and Process as a working pair. Let people understand the work, their part in it, and how to commit sit alongside the steps, standards, and handovers are clear enough to follow, then bring in Results and Vision when the work needs more range.|People and Process together connect trust, communication, and shared commitment with sequence, standards, and dependable structure. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Results or Vision is needed to complete the picture. The risk is a context mismatch: the work may need direction, meaning, and future consequence sooner than the pair expects.|Bring in Results when the work needs a firmer decision, owner, or visible next move. Bring in Vision when the work needs a stronger reason, future frame, or consequence to guide the next move. The pair stays steadier when these checks arrive before the answer feels settled.|People and Process carry the centre; Vision keeps the work rounded.|active|leadership_approach::people_process_results_vision::paired
