domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
leadership-approach|people_results_process_vision|strength_1|1|Trust that supports progress|When this pattern is working well, People keeps leadership connected to trust, communication, and commitment. The work is more likely to land because people understand what is changing and how they are involved.|people|active|leadership-approach::people_results_process_vision::strength_1
leadership-approach|people_results_process_vision|strength_2|2|Commitment that moves|People and Results together can keep trust connected to action. The strength is that listening, communication, and inclusion do not remain separate from decisions, ownership, and delivery.|results|active|leadership-approach::people_results_process_vision::strength_2
leadership-approach|people_results_process_vision|strength_3|3|Range through wider direction after Process|Process can broaden the first two signals before Vision is brought in deliberately. Vision adds range when the pattern is handling people, structure, or delivery and now needs a stronger reason for the work. It can lift the decision from the immediate task to meaning and future consequence.|vision|active|leadership-approach::people_results_process_vision::strength_3
leadership-approach|people_results_vision_process|strength_1|1|Trust that supports progress|When this pattern is working well, People keeps leadership connected to trust, communication, and commitment. The work is more likely to land because people understand what is changing and how they are involved.|people|active|leadership-approach::people_results_vision_process::strength_1
leadership-approach|people_results_vision_process|strength_2|2|Commitment that moves|People and Results together can keep trust connected to action. The strength is that listening, communication, and inclusion do not remain separate from decisions, ownership, and delivery.|results|active|leadership-approach::people_results_vision_process::strength_2
leadership-approach|people_results_vision_process|strength_3|3|Range through clearer structure after Vision|Vision can broaden the first two signals before Process is brought in deliberately. Process adds range when the pattern has energy, meaning, or commitment and now needs a more dependable way to hold the work. It can turn shared intent into steps, standards, and cleaner handover.|process|active|leadership-approach::people_results_vision_process::strength_3
leadership-approach|people_process_results_vision|strength_1|1|Trust that supports progress|When this pattern is working well, People keeps leadership connected to trust, communication, and commitment. The work is more likely to land because people understand what is changing and how they are involved.|people|active|leadership-approach::people_process_results_vision::strength_1
leadership-approach|people_process_results_vision|strength_2|2|Commitment with clear conditions|People and Process together can make collaboration easier to sustain. The strength is that trust is supported by clear roles, reliable steps, and standards people can understand.|process|active|leadership-approach::people_process_results_vision::strength_2
leadership-approach|people_process_results_vision|strength_3|3|Range through wider direction after Results|Results can broaden the first two signals before Vision is brought in deliberately. Vision adds range when the pattern is handling people, structure, or delivery and now needs a stronger reason for the work. It can lift the decision from the immediate task to meaning and future consequence.|vision|active|leadership-approach::people_process_results_vision::strength_3
leadership-approach|people_process_vision_results|strength_1|1|Trust that supports progress|When this pattern is working well, People keeps leadership connected to trust, communication, and commitment. The work is more likely to land because people understand what is changing and how they are involved.|people|active|leadership-approach::people_process_vision_results::strength_1
leadership-approach|people_process_vision_results|strength_2|2|Commitment with clear conditions|People and Process together can make collaboration easier to sustain. The strength is that trust is supported by clear roles, reliable steps, and standards people can understand.|process|active|leadership-approach::people_process_vision_results::strength_2
leadership-approach|people_process_vision_results|strength_3|3|Range through firmer ownership after Vision|Vision can broaden the first two signals before Results is brought in deliberately. Results adds range when the pattern has already created trust, structure, or direction and now needs a clearer decision. It can turn good leadership intent into ownership, visible movement, and follow-through.|results|active|leadership-approach::people_process_vision_results::strength_3
leadership-approach|people_vision_results_process|strength_1|1|Trust that supports progress|When this pattern is working well, People keeps leadership connected to trust, communication, and commitment. The work is more likely to land because people understand what is changing and how they are involved.|people|active|leadership-approach::people_vision_results_process::strength_1
leadership-approach|people_vision_results_process|strength_2|2|Commitment with meaning|People and Vision together can give others a stronger reason to engage. The strength is that trust and communication are connected to direction, possibility, and future consequence.|vision|active|leadership-approach::people_vision_results_process::strength_2
leadership-approach|people_vision_results_process|strength_3|3|Range through clearer structure after Results|Results can broaden the first two signals before Process is brought in deliberately. Process adds range when the pattern has energy, meaning, or commitment and now needs a more dependable way to hold the work. It can turn shared intent into steps, standards, and cleaner handover.|process|active|leadership-approach::people_vision_results_process::strength_3
leadership-approach|people_vision_process_results|strength_1|1|Trust that supports progress|When this pattern is working well, People keeps leadership connected to trust, communication, and commitment. The work is more likely to land because people understand what is changing and how they are involved.|people|active|leadership-approach::people_vision_process_results::strength_1
leadership-approach|people_vision_process_results|strength_2|2|Commitment with meaning|People and Vision together can give others a stronger reason to engage. The strength is that trust and communication are connected to direction, possibility, and future consequence.|vision|active|leadership-approach::people_vision_process_results::strength_2
leadership-approach|people_vision_process_results|strength_3|3|Range through firmer ownership after Process|Process can broaden the first two signals before Results is brought in deliberately. Results adds range when the pattern has already created trust, structure, or direction and now needs a clearer decision. It can turn good leadership intent into ownership, visible movement, and follow-through.|results|active|leadership-approach::people_vision_process_results::strength_3
