question_number,option_label,domain,question_text,response_text,primary_signal,secondary_signal,needs_review,notes
1,A,Operating Style,"When starting a new initiative, what do you focus on first?","Start quickly, then adjust as I learn",driver,,false,Primary driver via start quickly; quick.
1,B,Operating Style,"When starting a new initiative, what do you focus on first?",Plan the full approach before starting,implementer,,false,Primary implementer via plan the full approach; plan.
1,C,Operating Style,"When starting a new initiative, what do you focus on first?",Check with key people before moving,influencer,,false,Primary influencer via check with key people; people; people.
1,D,Operating Style,"When starting a new initiative, what do you focus on first?",Wait until direction is fully clear,analyst,,false,Primary analyst via wait until direction is fully clear.
2,A,Operating Style,How would you describe your natural pace at work?,I work fast and keep urgency high,driver,,false,Primary driver via keep urgency high; fast; fast.
2,B,Operating Style,How would you describe your natural pace at work?,"I keep a steady, reliable pace",implementer,,false,"Primary implementer via steady, reliable pace; reliable pace; steady."
2,C,Operating Style,How would you describe your natural pace at work?,I work calmly and think things through,analyst,,false,Primary analyst via work calmly and think things through.
2,D,Operating Style,How would you describe your natural pace at work?,My pace shifts with the environment,implementer,driver,false,"Primary implementer, secondary driver via pace shifts with the environment."
3,A,Operating Style,"When priorities shift suddenly, what is your instinct?",I pivot quickly and keep moving,driver,,false,Primary driver via pivot quickly; keep moving; quick.
3,B,Operating Style,"When priorities shift suddenly, what is your instinct?",I pause to rework the plan,analyst,,false,Primary analyst via pause to rework the plan.
3,C,Operating Style,"When priorities shift suddenly, what is your instinct?",I check who will be affected first,influencer,,false,Primary influencer via check who will be affected.
3,D,Operating Style,"When priorities shift suddenly, what is your instinct?",I lose momentum until things settle,driver,,false,Primary driver via lose momentum.
4,A,Operating Style,What type of work do you naturally gravitate towards?,High-stakes work with visible outcomes,driver,,false,Primary driver via high-stakes work; visible outcomes.
4,B,Operating Style,What type of work do you naturally gravitate towards?,Work with clear structure and scope,implementer,,false,Primary implementer via work with clear structure; structure; struct.
4,C,Operating Style,What type of work do you naturally gravitate towards?,Work that depends on strong collaboration,influencer,,false,Primary influencer via strong collaboration; collaboration; collabor.
4,D,Operating Style,What type of work do you naturally gravitate towards?,Technical work that needs deep analysis,analyst,,false,Primary analyst via technical work that needs deep analysis; deep analysis; analysis.
5,A,Operating Style,"When there is little clarity, what do you do first?",Pick a direction and move forward,driver,,false,Primary driver via pick a direction; move forward; direct.
